1)tuId,2)tuName,5)tuGenes
RDBECOLITUC00080,yjtD,yjtD;
RDBECOLITUC00081,yaaX,yaaX;
RDBECOLITUC00082,yaaA,yaaA;
RDBECOLITUC00083,yaaJ,yaaJ;
RDBECOLITUC00084,mog,mog;
RDBECOLITUC00085,satP,satP;
RDBECOLITUC00086,yaaW,yaaW;
RDBECOLITUC00087,insL1,insL1;
RDBECOLITUC00088,mokC-hokC,mokC;hokC;
RDBECOLITUC00089,sokC,sokC;
RDBECOLITUC00090,insA1B1AB1,insA1;insB1;insAB1;
RDBECOLITUC00091,rihC,rihC;
RDBECOLITUC00092,yaaU,yaaU;
RDBECOLITUC00093,kefFC,kefC;kefF;
RDBECOLITUC00094,djlA,djlA;
RDBECOLITUC00095,yabPQ,yabQ;yabP;
RDBECOLITUC00096,yabI,yabI;
RDBECOLITUC00097,sgrR-sroA-thiBPQ,sgrR;sroA;thiB;thiP;thiQ;
RDBECOLITUC00098,sgrST-setA,sgrT;setA;sgrS;
RDBECOLITUC00099,leuO,leuO;
RDBECOLITUC00100,cra,cra;
RDBECOLITUC00101,lpxC,lpxC;
RDBECOLITUC00102,coaE-zapD-yacG,coaE;zapD;yacG;
RDBECOLITUC00103,ppdD-hofBC,ppdD;hofB;hofC;
RDBECOLITUC00104,nadC,nadC;
RDBECOLITUC00105,yacL,yacL;
RDBECOLITUC00106,yadGH,yadH;yadG;
RDBECOLITUC00107,yadI,yadI;
RDBECOLITUC00108,yadE,yadE;
RDBECOLITUC00109,yadC,yadC;
RDBECOLITUC00110,hrpB,hrpB;
RDBECOLITUC00111,uof-fur,uof;fur;
RDBECOLITUC00112,mrcB,mrcB;
RDBECOLITUC00113,clcA,clcA;
RDBECOLITUC00114,mnt-btuF-yadS,mtn;btuF;yadS;
RDBECOLITUC00115,dgt,dgt;
RDBECOLITUC00116,yaeH,yaeH;
RDBECOLITUC00117,yaeI,yaeI;
RDBECOLITUC00118,map-glnD-dapD,map;glnD;dapD;
RDBECOLITUC00119,fldA-uof-fur,uof;fur;fldA;
RDBECOLITUC00120,dxr-uppS-cdsA,cdsA;ispU;dxr;
RDBECOLITUC00121,yaeR,yaeR;
RDBECOLITUC00122,tilS,tilS;
RDBECOLITUC00123,yaeP-rof,yaeP;rof;
RDBECOLITUC00124,yaeQ-arfB-nlpE,nlpE;arfB;yaeQ;
RDBECOLITUC00125,yaeF,yaeF;
RDBECOLITUC00126,rcsF-trmO,rcsF;trmO;
RDBECOLITUC00127,gmhB,gmhB;
RDBECOLITUC00128,dkgB,dkgB;
RDBECOLITUC00129,fur,fur;
RDBECOLITUC00130,yafDE,yafE;yafD;
RDBECOLITUC00131,mltD,mltD;
RDBECOLITUC00132,gloB,gloB;
RDBECOLITUC00133,dnaQ,dnaQ;
RDBECOLITUC00134,yafT,yafT;
RDBECOLITUC00135,gmhA,gmhA;
RDBECOLITUC00136,yafJ,yafJ;
RDBECOLITUC00137,ldtF,dpaA;
RDBECOLITUC00138,dinJ-yafQ,dinJ;yafQ;
RDBECOLITUC00139,yafL,yafL;
RDBECOLITUC00140,rayT,rayT;
RDBECOLITUC00141,lafU,lafU;
RDBECOLITUC00142,dinB-yafNOP,yafP;yafO;yafN;dinB;
RDBECOLITUC00143,yafNOP,yafP;yafO;yafN;
RDBECOLITUC00144,ykfJ-prfH,prfH;ykfJ;
RDBECOLITUC00145,frsA,frsA;
RDBECOLITUC00146,yafY-ykfBF-yafX-ykfGH-yafW-ykfI,yafY;ykfB;ykfF;yafX;ykfG;ykfH;yafW;ykfI;
RDBECOLITUC00147,ykfA-yafZ,ykfA;yafZ;
RDBECOLITUC00148,perR,perR;
RDBECOLITUC00149,None,insI1;insN;
RDBECOLITUC00150,ykfC,ykfC;
RDBECOLITUC00151,mmuPM,mmuM;mmuP;
RDBECOLITUC00152,insA2B2AB2-afuBC,insA2;insB2;insAB2;afuB;afuC;
RDBECOLITUC00153,yagAB-insX,yagA;yagB;insX;
RDBECOLITUC00154,yagEF,yagF;yagE;
RDBECOLITUC00155,yagGH,yagH;yagG;
RDBECOLITUC00156,xynR,xynR;
RDBECOLITUC00157,insA3B3AB3,insA3;insB3;insAB3;
RDBECOLITUC00158,yagK,yagK;
RDBECOLITUC00159,yagML,yagM;yagL;
RDBECOLITUC00160,yagN,yagN;
RDBECOLITUC00161,intF,intF;
RDBECOLITUC00162,yagP,yagP;
RDBECOLITUC00163,paoABCD,paoA;paoB;paoC;paoD;
RDBECOLITUC00164,ykgJ,ykgJ;
RDBECOLITUC00165,ecpBCDE,ecpB;ecpC;ecpD;ecpE;
RDBECOLITUC00166,ecpA,ecpA;
RDBECOLITUC00167,ecpR,matA;
RDBECOLITUC00168,ykgMO,ykgM;ykgO;
RDBECOLITUC00169,eaeH-insE1EF1F1,insF1;insE1;insEF1;eaeH;
RDBECOLITUC00170,ykgA,ykgA;
RDBECOLITUC00171,rclBC,rclB;rclC;
RDBECOLITUC00172,rclABC,rclC;rclB;rclA;
RDBECOLITUC00173,rclR,rclR;
RDBECOLITUC00174,ykgEFG,ykgG;ykgF;ykgE;
RDBECOLITUC00175,ykgH,ykgH;
RDBECOLITUC00176,pdeL,pdeL;
RDBECOLITUC00177,yahB,yahB;
RDBECOLITUC00178,yahC,yahC;
RDBECOLITUC00179,yahDEFG,yahG;yahF;yahE;yahD;
RDBECOLITUC00180,yahH,yahH;
RDBECOLITUC00181,yahIJ,yahJ;yahI;
RDBECOLITUC00182,yahK,yahK;
RDBECOLITUC00183,yahL,yahL;
RDBECOLITUC00184,yahM,yahM;
RDBECOLITUC00185,mhpT,mhpT;
RDBECOLITUC00186,yaiL,yaiL;
RDBECOLITUC00187,frmRAB,frmR;frmA;frmB;
RDBECOLITUC00188,yaiO,yaiO;
RDBECOLITUC00189,insC1CD1D1,insD1;insC1;insCD1;
RDBECOLITUC00190,yaiX,yaiX;
RDBECOLITUC00191,yaiP,yaiP;
RDBECOLITUC00192,hemB,hemB;
