Entry,Gene Names,Protein families
A5A616,mgtS yneM b4599 JW1527.1,
B1X6B7,hchA ECDH10B_2110,"Peptidase C56 family, HchA subfamily"
C4ZQN7,hchA BWG_1768,"Peptidase C56 family, HchA subfamily"
O32583,thiS thiG1 b4407 JW3955,Sulfur carrier protein ThiS family
P00350,gnd b2029 JW2011,6-phosphogluconate dehydrogenase family
P00363,frdA b4154 JW4115,"FAD-dependent oxidoreductase 2 family, FRD/SDH subfamily"
P00370,gdhA b1761 JW1750,Glu/Leu/Phe/Val dehydrogenases family
P00393,ndh b1109 JW1095,NADH dehydrogenase family
P00448,sodA b3908 JW3879,Iron/manganese superoxide dismutase family
P00452,nrdA dnaF b2234 JW2228,Ribonucleoside diphosphate reductase large chain family
P00490,malP b3417 JW5689,Glycogen phosphorylase family
P00509,aspC b0928 JW0911,Class-I pyridoxal-phosphate-dependent aminotransferase family
P00550,mtlA b3599 JW3573,
P00561,thrA thrA1 thrA2 b0002 JW0001,Aspartokinase family; Homoserine dehydrogenase family
P00562,metL metM b3940 JW3911,Aspartokinase family; Homoserine dehydrogenase family
P00579,rpoD alt b3067 JW3039,"Sigma-70 factor family, RpoD/SigA subfamily"
P00582,polA resA b3863 JW3835,DNA polymerase type-A family
P00634,phoA b0383 JW0374,Alkaline phosphatase family
P00722,lacZ b0344 JW0335,Glycosyl hydrolase 2 family
P00803,lepB b2568 JW2552,Peptidase S26 family
P00804,lspA lsp b0027 JW0025,Peptidase A8 family
P00805,ansB b2957 JW2924,Asparaginase 1 family
P00811,ampC ampA b4150 JW4111,Class-C beta-lactamase family
P00861,lysA b2838 JW2806,"Orn/Lys/Arg decarboxylase class-II family, LysA subfamily"
P00864,ppc glu b3956 JW3928,PEPCase type 1 family
P00893,ilvI b0077 JW0076,TPP enzyme family
P00894,ilvH brnP b0078 JW0077,Acetolactate synthase small subunit family
P00903,pabA b3360 JW3323,
P00904,trpGD trpD b1263 JW1255,Anthranilate phosphoribosyltransferase family
P00914,phrB phr b0708 JW0698,DNA photolyase class-1 family
P00926,dsdA b2366 JW2363,"Serine/threonine dehydratase family, DsdA subfamily"
P00935,metB b3939 JW3910,Trans-sulfuration enzymes family
P00936,cyaA cya b3806 JW3778,Adenylyl cyclase class-1 family
P00946,manA pmi b1613 JW1605,Mannose-6-phosphate isomerase type 1 family
P00956,ileS ilvS b0026 JW0024,"Class-I aminoacyl-tRNA synthetase family, IleS type 1 subfamily"
P00957,alaS lovB b2697 JW2667,Class-II aminoacyl-tRNA synthetase family
P00959,metG b2114 JW2101,"Class-I aminoacyl-tRNA synthetase family, MetG type 1 subfamily"
P00962,glnS b0680 JW0666,Class-I aminoacyl-tRNA synthetase family
P00963,asnA b3744 JW3722,"Class-II aminoacyl-tRNA synthetase family, AsnA subfamily"
P00968,carB pyrA b0033 JW0031,CarB family
P02358,rpsF b4200 JW4158,Bacterial ribosomal protein bS6 family
P02359,rpsG b3341 JW3303,Universal ribosomal protein uS7 family
P02916,malF b4033 JW3993,"Binding-protein-dependent transport system permease family, MalFG subfamily"
P02918,mrcA ponA b3396 JW3359,Glycosyltransferase 51 family; Transpeptidase family
P02919,mrcB pbpF ponB b0149 JW0145,Glycosyltransferase 51 family; Transpeptidase family
P02920,lacY b0343 JW0334,"Major facilitator superfamily, Oligosaccharide:H(+) symporter (OHS) (TC 2.A.1.5) family"
P02921,melB mel-4 b4120 JW4081,Sodium:galactoside symporter (TC 2.A.2) family
P02925,rbsB prlB rbsP b3751 JW3730,Bacterial solute-binding protein 2 family
P02929,tonB exbA b1252 JW5195,TonB family
P02930,tolC colE1-i mtcB mukA refI toc weeA b3035 JW5503,Outer membrane factor (OMF) (TC 1.B.17) family
P02931,ompF cmlB coa cry tolF b0929 JW0912,Gram-negative porin family
P02942,tsr cheD b4355 JW4318,Methyl-accepting chemotaxis (MCP) protein family
P02943,lamB malB b4036 JW3996,Porin LamB (TC 1.B.3) family
P03004,dnaA b3702 JW3679,DnaA family
P03007,dnaQ mutD b0215 JW0205,
P03018,uvrD mutU pdeB rad recL b3813 JW3786,"Helicase family, UvrD subfamily"
P03023,lacI b0345 JW0336,
P03819,kefC trkC b0047 JW0046,"Monovalent cation:proton antiporter 2 (CPA2) transporter (TC 2.A.37) family, KefC subfamily"
P03959,kdpA b0698 JW0686,KdpA family
P03960,kdpB b0697 JW0685,"Cation transport ATPase (P-type) (TC 3.A.3) family, Type IA subfamily"
P03961,kdpC b0696 JW0684,KdpC family
P04036,dapB b0031 JW0029,DapB family
P04079,guaA b2507 JW2491,
P04152,umuC b1184 JW1173,DNA polymerase type-Y family
P04391,argI b4254 JW4211,"Aspartate/ornithine carbamoyltransferase superfamily, OTCase family"
